"TICKERS","Company"
"3MINDIA.NS","3M India Ltd."
"8KMILES.NS","8K Miles Soft Services Ltd."
"AARTIIND.NS","Aarti Industries Ltd."
"ABB.NS","ABB India Ltd."
"ABBOTINDIA.BO","Abbott India Ltd."
"ABCAPITAL.NS","Aditya Birla Capital Ltd."
"ABFRL.NS","Aditya Birla Fashion and Retail Ltd."
"ACC.NS","ACC Ltd."
"ADANIGREEN.NS","Adani Green Energy Ltd."
"ADANIPORTS.NS","Adani Ports and Special Economic Zone Ltd."
"ADANIPOWER.NS","Adani Power Ltd."
"ADANITRANS.NS","Adani Transmission Ltd."
"ADVENZYMES.NS","Advanced Enzyme Tech Ltd."
"AEGISCHEM.NS","Aegis Logistics Ltd."
"AEGISLOG.BO","Aegis Logistics Ltd."
"AIAENG.NS","AIA Engineering Ltd."
"AJANTPHARM.NS","Ajanta Pharmaceuticals Ltd."
"AKZOINDIA.NS","Akzo Nobel India Ltd."
"ALBK.NS","Allahabad Bank"
"ALKEM.NS","Alkem Laboratories Ltd."
"ALLCARGO.NS","Allcargo Logistics Ltd."
"AMARAJABAT.NS","Amara Raja Batteries Ltd."
"AMBUJACEM.NS","Ambuja Cements Ltd."
"ANDHRABANK.NS","Andhra Bank"
"APARINDS.BO","Apar Industries Ltd."
"APLAPOLLO.NS","APL Apollo Tubes Ltd."
"APLLTD.NS","Alembic Pharmaceuticals Ltd."
"APOLLOHOSP.NS","Apollo Hospitals Enterprise Ltd."
"APOLLOTYRE.NS","Apollo Tyres Ltd."
"ASAHIINDIA.BO","Asahi India Glass Ltd."
"ASHOKA.NS","Ashoka Buildcon Ltd."
"ASHOKLEY.NS","Ashok Leyland Ltd."
"ASIANPAINT.NS","Asian Paints Ltd."
"ASTERDM.NS","Aster DM Healthcare Ltd."
"ASTRAL.NS","Astral Poly Technik Ltd."
"ASTRAZEN.BO","AstraZeneca Pharm India"
"ATUL.NS","Atul Ltd."
"AUBANK.NS","AU Small Finance Bank Ltd."
"AUROPHARMA.NS","Aurobindo Pharma Ltd."
"AVANTI.BO","Avanti Feeds Ltd."
"AVANTIFEED.NS","Avanti Feeds Ltd."
"AXISBANK.NS","Axis Bank Ltd."
"BAJAJ-AUTO.NS","Bajaj Auto Ltd."
"BAJAJCON.NS","Bajaj Consumer Care Ltd."
"BAJAJELEC.NS","Bajaj Electricals Ltd"
"BAJAJFINSV.NS","Bajaj Finserv Ltd."
"BAJAJHLDNG.NS","Bajaj Holdings & Investment Ltd."
"BAJFINANCE.NS","Bajaj Finance Ltd."
"BALKRISIND.NS","Balkrishna Industries Ltd."
"BALMLAWRIE.NS","Balmer Lawrie & Co. Ltd."
"BALRAMCHIN.NS","Balrampur Chini Mills Ltd."
"BANDHANBNK.NS","Bandhan Bank Ltd."
"BANKBARODA.NS","Bank of Baroda"
"BANKINDIA.NS","Bank of India"
"BASF.NS","BASF India Ltd."
"BATAINDIA.NS","Bata India Ltd."
"BAYERCROP.BO","Bayer CropScience Ltd. India"
"BBTC.NS","Bombay Burmah Trading Corporation Ltd."
"BDL.NS","Bharat Dynamics Ltd."
"BEL.NS","Bharat Electronics Ltd."
"BEML.NS","BEML Ltd."
"BERGEPAINT.NS","Berger Paints India Ltd."
"BHARATFIN.BO","Bharat Financial Inclusion Ltd."
"BHARATFORG.NS","Bharat Forge Ltd."
"BHARTIARTL.NS","Bharti Airtel Ltd."
"BHEL.NS","Bharat Heavy Electricals Ltd."
"BIOCON.NS","Biocon Ltd."
"BIRLACORPN.NS","Birla Corporation Ltd."
"BLISSGVS.NS","Bliss GVS Pharma Ltd."
"BLUEDART.NS","Blue Dart Express Ltd."
"BLUESTARCO.NS","Blue Star Ltd."
"BOMDYEING.NS","Bombay Dyeing & Manufacturing Co. Ltd."
"BOSCHLTD.NS","Bosch Ltd."
"BPCL.NS","Bharat Petroleum Corporation Ltd."
"BRIGADE.NS","Brigade Enterprises Ltd."
"BRITANNIA.NS","Britannia Industries Ltd."
"BSE.NS","BSE Ltd."
"CADILAHC.NS","Cadila Healthcare Ltd."
"CANBK.NS","Canara Bank"
"CANFINHOME.NS","Can Fin Homes Ltd."
"CAPLIPOINT.NS","Caplin Point Laboratories Ltd."
"CAPPL.BO","Caplin Point Laboratories Ltd."
"CARBORUNIV.NS","Carborundum Universal Ltd."
"CARERATING.NS","CARE Ratings Ltd."
"CASTROLIND.NS","Castrol India Ltd."
"CCL.NS","CCL Products (I) Ltd."
"CDSL.NS","Central Depository Services (India) Ltd."
"CEATLTD.NS","Ceat Ltd."
"CENTRALBK.NS","Central Bank of India"
"CENTRUM.BO","Centrum Capital Ltd."
"CENTURYPLY.NS","Century Plyboards (India) Ltd."
"CENTURYTEX.BO","Century Textile & Industries Ltd."
"CERA.NS","Cera Sanitaryware Ltd"
"CGPOWER.NS","CG Power and Industrial Solutions Ltd."
"CHAMBLFERT.NS","Chambal Fertilizers & Chemicals Ltd."
"CHENNPETRO.NS","Chennai Petroleum Corporation Ltd."
"CHOLAFIN.NS","Cholamandalam Investment and Finance Company Ltd."
"CIPLA.NS","Cipla Ltd."
"COALINDIA.NS","Coal India Ltd."
"COCHINSHIP.NS","Cochin Shipyard Ltd."
"COFFEEDAY.NS","Coffee Day Enterprises Ltd."
"COLPAL.NS","Colgate Palmolive (India) Ltd."
"CONCOR.NS","Container Corporation of India Ltd."
"COROMANDEL.NS","Coromandel International Ltd."
"CORPBANK.NS","Corporation Bank"
"CREDITACC.NS","CreditAccess Grameen Ltd."
"CRISIL.NS","CRISIL Ltd."
"CROMPTON.NS","Crompton Greaves Consumer Electricals Ltd."
"CUB.NS","City Union Bank Ltd."
"CUMMINSIND.NS","Cummins India Ltd."
"CYIENT.NS","Cyient Ltd."
"DABUR.NS","Dabur India Ltd."
"DBCORP.NS","D.B.Corp Ltd."
"DBL.NS","Dilip Buildcon Ltd."
"DCAL.NS","Dishman Carbogen Amcis Ltd."
"DCBBANK.NS","DCB Bank Ltd."
"DCMSHRIRAM.NS","DCM Shriram Ltd."
"DEEPAKFERT.NS","Deepak Fertilisers & Petrochemicals Corp. Ltd."
"DEEPAKNI.BO","Deepak Nitrite Limited"
"DELTACORP.NS","Delta Corp Ltd."
"DEN.NS","Den Networks Ltd."
"DENABANK.BO","Dena Bank"
"DHANUKA.BO","Dhanuka Agritech Ltd."
"DHFL.NS","Dewan Housing Finance Corporation Ltd."
"DISHTV.NS","Dish TV India Ltd."
"DIVISLAB.NS","Divi's Laboratories Ltd."
"DIXON.NS","Dixon Technologies (India) Ltd."
"DLF.NS","DLF Ltd."
"DMART.NS","Avenue Supermarts Ltd."
"DREDGECORP.NS","Dredging Corporation of India Ltd."
"DRREDDY.NS","Dr. Reddy's Laboratories Ltd."
"ECLERX.NS","eClerx Services Ltd."
"EDELWEISS.NS","Edelweiss Financial Services Ltd."
"EICHERMOT.NS","Eicher Motors Ltd."
"EIDPARRY.NS","E.I.D. Parry (India) Ltd."
"EIHOTEL.NS","EIH Ltd."
"ELGIEQUIP.NS","Elgi Equipments Ltd."
"EMAMILTD.NS","Emami Ltd."
"ENDURANCE.NS","Endurance Technologies Ltd."
"ENGINERSIN.NS","Engineers India Ltd."
"EQUITAS.NS","Equitas Holdings Ltd."
